post_id,author_id,hashtags,like_count,reply_count,created_at,product_tags,status,visibility
simpost0000000000000001,a1000000-0000-4000-8000-000000000001,"[""sneaker"", ""kicks"", ""dunk""]",0,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000001"", ""categoryId"": ""f1000000-0000-4000-8000-000000000023"", ""shopId"": ""b2000000-0000-4000-8000-000000000001"", ""name"": ""sneaker item 1"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000002,a1000000-0000-4000-8000-000000000002,"[""streetwear"", ""ootd"", ""hoodie""]",2,1,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000002"", ""categoryId"": ""f1000000-0000-4000-8000-000000000021"", ""shopId"": ""b2000000-0000-4000-8000-000000000002"", ""name"": ""streetwear item 2"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000003,a1000000-0000-4000-8000-000000000003,"[""vintage"", ""designer"", ""thrift""]",2,1,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000003"", ""categoryId"": ""f1000000-0000-4000-8000-000000000040"", ""shopId"": ""b2000000-0000-4000-8000-000000000003"", ""name"": ""vintage item 3"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000004,a1000000-0000-4000-8000-000000000004,"[""bag"", ""tote"", ""phukien""]",0,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000004"", ""categoryId"": ""f1000000-0000-4000-8000-000000000024"", ""shopId"": ""b2000000-0000-4000-8000-000000000004"", ""name"": ""bag item 4"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000005,a1000000-0000-4000-8000-000000000001,"[""minimal"", ""basic"", ""aonu""]",2,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000005"", ""categoryId"": ""f1000000-0000-4000-8000-000000000011"", ""shopId"": ""b2000000-0000-4000-8000-000000000001"", ""name"": ""minimal item 5"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000006,a1000000-0000-4000-8000-000000000002,"[""sneaker"", ""kicks"", ""dunk""]",3,1,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000006"", ""categoryId"": ""f1000000-0000-4000-8000-000000000013"", ""shopId"": ""b2000000-0000-4000-8000-000000000002"", ""name"": ""sneaker item 6"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000007,a1000000-0000-4000-8000-000000000003,"[""streetwear"", ""ootd"", ""hoodie""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000007"", ""categoryId"": ""f1000000-0000-4000-8000-000000000030"", ""shopId"": ""b2000000-0000-4000-8000-000000000003"", ""name"": ""streetwear item 7"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000008,a1000000-0000-4000-8000-000000000004,"[""vintage"", ""designer"", ""thrift""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000008"", ""categoryId"": ""f1000000-0000-4000-8000-000000000011"", ""shopId"": ""b2000000-0000-4000-8000-000000000004"", ""name"": ""vintage item 8"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000009,a1000000-0000-4000-8000-000000000001,"[""bag"", ""tote"", ""phukien""]",0,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000009"", ""categoryId"": ""f1000000-0000-4000-8000-000000000014"", ""shopId"": ""b2000000-0000-4000-8000-000000000001"", ""name"": ""bag item 9"", ""available"": true}]",ACTIVE,PUBLIC
simpost0000000000000010,a1000000-0000-4000-8000-000000000002,"[""minimal"", ""basic"", ""aonu""]",1,0,2025-12-20T10:00:00Z,"[{""productId"": ""c3000000-0000-4000-8000-000000000010"", ""categoryId"": ""f1000000-0000-4000-8000-000000000012"", ""shopId"": ""b2000000-0000-4000-8000-000000000002"", ""name"": ""minimal item 10"", ""available"": true}]",ACTIVE,PUBLIC
