user_id,category_ids,shop_ids
a1000000-0000-4000-8000-000000000001,"[""f1000000-0000-4000-8000-000000000013""]","[""b2000000-0000-4000-8000-000000000004""]"
a1000000-0000-4000-8000-000000000002,"[""f1000000-0000-4000-8000-000000000030""]","[""b2000000-0000-4000-8000-000000000003""]"
a1000000-0000-4000-8000-000000000003,"[""f1000000-0000-4000-8000-000000000040""]","[""b2000000-0000-4000-8000-000000000001""]"
a1000000-0000-4000-8000-000000000004,"[""f1000000-0000-4000-8000-000000000014"", ""f1000000-0000-4000-8000-000000000024""]","[""b2000000-0000-4000-8000-000000000001"", ""b2000000-0000-4000-8000-000000000003"", ""b2000000-0000-4000-8000-000000000004""]"
a1000000-0000-4000-8000-000000000005,"[""f1000000-0000-4000-8000-000000000011""]","[""b2000000-0000-4000-8000-000000000001""]"
a1000000-0000-4000-8000-000000000006,"[""f1000000-0000-4000-8000-000000000011"", ""f1000000-0000-4000-8000-000000000013"", ""f1000000-0000-4000-8000-000000000023""]","[""b2000000-0000-4000-8000-000000000001"", ""b2000000-0000-4000-8000-000000000002"", ""b2000000-0000-4000-8000-000000000004""]"
a1000000-0000-4000-8000-000000000007,"[""f1000000-0000-4000-8000-000000000030""]","[""b2000000-0000-4000-8000-000000000001""]"
a1000000-0000-4000-8000-000000000008,"[""f1000000-0000-4000-8000-000000000040""]","[""b2000000-0000-4000-8000-000000000003""]"
a1000000-0000-4000-8000-000000000009,"[""f1000000-0000-4000-8000-000000000011""]","[""b2000000-0000-4000-8000-000000000002""]"
a1000000-0000-4000-8000-000000000010,"[""f1000000-0000-4000-8000-000000000011"", ""f1000000-0000-4000-8000-000000000012""]","[""b2000000-0000-4000-8000-000000000002"", ""b2000000-0000-4000-8000-000000000003""]"
